grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
21,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
22,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
23,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
24,318.150000,318.150000,318.150000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.170000,318.180000,318.180000,318.180000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
25,318.150000,318.150000,318.150000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
26,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
27,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
28,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
29,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.170000,318.170000,318.170000,318.170000,318.170000,318.170000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
30,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
31,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
32,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
33,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
34,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
35,318.150000,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
36,318.150000,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
37,318.150000,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
38,318.150000,318.150000,318.150000,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
39,318.150000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
40,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000,318.160000
