region,instances,cell_area,proxy_power_w
gemmini_other,291752,78990.56172,0.40850387643014135
pe_array,462375,116045.70462000002,0.25261747061573264
scratchpad,317024,85421.63934000001,0.16459897983229638
unmapped_standard_cell,152968,540519.0912,0.12331467666717746
controller,56261,15531.18462,0.038414562534133626
clock_tree,23198,108586.00800000003,0.009176490144616588
load_store_dma,30420,7746.747659999999,0.003373943776235421
