grid_y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
50,-1.286987,-1.330943,-1.438974,-1.605142,-1.830376,-2.104971,-2.448841,-2.841233,-3.281126,-3.796253,-4.386215,-4.820996,-5.310675,-5.727974,-6.055958,-6.372963,-6.626461,-6.708165,-6.913600,-7.054830,-7.173230,-7.217493,-7.245725,-7.185873,-7.155853,-7.169302,-7.080095,-6.998377,-6.883582,-6.705163,-6.551740,-6.279517,-5.977660,-5.589474,-5.135573,-4.565300,-4.097968,-3.683094,-3.330069,-3.028021,-2.747378,-2.427445,-2.138495,-1.831359,-1.544831,-1.295923,-1.086046,-0.836002,-0.565163,-0.292278,-0.008527,0.336482,0.611959,0.828282,1.016762,1.179091,1.326019,1.477722,1.593090,1.679082,1.765990,1.814115,1.883519,1.907079
51,-1.302231,-1.357121,-1.466605,-1.623897,-1.849596,-2.144119,-2.467583,-2.869400,-3.318424,-3.962809,-4.552043,-4.966207,-5.395616,-5.711604,-6.026037,-6.258431,-6.467600,-6.635564,-6.838371,-6.997563,-7.104179,-7.187375,-7.244748,-7.264543,-7.265921,-7.200612,-7.111310,-7.008442,-6.931270,-6.769187,-6.511135,-6.255579,-5.912250,-5.472282,-4.936175,-4.423837,-3.995003,-3.599227,-3.235558,-2.932928,-2.661731,-2.361706,-2.083041,-1.786425,-1.490219,-1.231553,-0.991744,-0.751231,-0.479337,-0.195639,0.118749,0.473748,0.729602,0.947173,1.137491,1.281111,1.458710,1.569750,1.662808,1.776319,1.871734,1.927929,1.986061,2.009466
52,-1.333646,-1.379430,-1.490501,-1.649051,-1.885481,-2.150001,-2.492660,-2.883050,-3.330279,-4.023275,-4.561524,-5.034957,-5.393630,-5.708000,-5.978907,-6.187262,-6.413207,-6.569424,-6.741142,-6.918975,-7.054066,-7.196310,-7.223609,-7.283838,-7.266213,-7.211731,-7.112122,-6.978295,-6.849152,-6.703991,-6.471982,-6.172840,-5.817008,-5.454922,-4.796893,-4.312914,-3.892536,-3.495494,-3.151127,-2.848167,-2.546735,-2.266874,-1.998597,-1.702109,-1.435660,-1.157957,-0.909343,-0.639144,-0.356151,-0.080874,0.275129,0.581224,0.838821,1.058701,1.240198,1.403908,1.540810,1.670285,1.781928,1.874914,1.979322,2.033227,2.079305,2.092426
53,-1.349134,-1.405507,-1.507514,-1.666787,-1.893744,-2.168231,-2.500151,-2.889291,-3.335099,-4.016930,-4.594254,-5.026847,-5.404477,-5.736941,-5.914644,-6.060089,-6.234266,-6.389942,-6.581506,-6.759035,-6.973282,-7.124754,-7.171924,-7.252376,-7.265338,-7.191229,-7.051175,-6.966254,-6.835491,-6.627953,-6.392817,-6.120418,-5.761806,-5.257613,-4.708052,-4.242708,-3.821016,-3.412577,-3.056941,-2.743265,-2.471928,-2.182443,-1.884733,-1.618520,-1.362458,-1.086299,-0.839596,-0.530020,-0.265478,0.022401,0.391012,0.679477,0.938572,1.149232,1.320755,1.474261,1.640734,1.779826,1.901415,1.994552,2.078051,2.130685,2.154875,2.177331
54,-1.357692,-1.414408,-1.516974,-1.696717,-1.903951,-2.178310,-2.499645,-2.867883,-3.312678,-3.863620,-4.570224,-5.002156,-5.409072,-5.700489,-5.836653,-6.010590,-6.213793,-6.329265,-6.520633,-6.687830,-6.891344,-7.022105,-7.088680,-7.198981,-7.192376,-7.168766,-7.038660,-6.922656,-6.750247,-6.560766,-6.383558,-6.108711,-5.757377,-5.220604,-4.709276,-4.192491,-3.699376,-3.289620,-2.932607,-2.627656,-2.325868,-2.046932,-1.790573,-1.535508,-1.290463,-1.016119,-0.761330,-0.472267,-0.166772,0.173478,0.505056,0.786217,1.026802,1.248208,1.430445,1.604934,1.762154,1.891904,1.993138,2.084855,2.156685,2.198097,2.231234,2.243334
55,-1.368901,-1.425908,-1.528940,-1.688961,-1.906133,-2.160253,-2.481190,-2.838828,-3.272935,-3.803257,-4.499380,-4.970975,-5.357751,-5.609428,-5.836250,-6.060041,-6.192703,-6.328303,-6.479288,-6.605598,-6.858159,-6.967773,-6.993251,-7.073358,-7.087029,-7.043950,-6.954405,-6.848130,-6.714745,-6.513997,-6.295094,-6.017799,-5.603721,-5.204187,-4.760599,-4.211906,-3.607056,-3.175695,-2.787381,-2.451617,-2.169487,-1.901001,-1.665462,-1.431721,-1.188735,-0.936055,-0.671808,-0.392536,-0.056903,0.284421,0.618785,0.882432,1.125009,1.338418,1.532911,1.698948,1.846314,1.974995,2.074453,2.164333,2.224646,2.264596,2.287564,2.309924
56,-1.382280,-1.429461,-1.532760,-1.692918,-1.899999,-2.173926,-2.464595,-2.811877,-3.235590,-3.715532,-4.371402,-4.912933,-5.289895,-5.652149,-5.929940,-6.094403,-6.297920,-6.424318,-6.505071,-6.620363,-6.761722,-6.820087,-6.865052,-6.925086,-6.939153,-6.907020,-6.788708,-6.743201,-6.589585,-6.387909,-6.177361,-5.897657,-5.580641,-5.148081,-4.691689,-4.070530,-3.473636,-3.020500,-2.630941,-2.314637,-2.032379,-1.773979,-1.538382,-1.305908,-1.045256,-0.803373,-0.558450,-0.288655,0.006926,0.398335,0.693803,0.959225,1.194216,1.419695,1.615593,1.781975,1.918864,2.036513,2.134688,2.223431,2.282361,2.321393,2.344988,2.357921
57,-1.377658,-1.434917,-1.528338,-1.678556,-1.895590,-2.139397,-2.429894,-2.776973,-3.180487,-3.640264,-4.256094,-4.877762,-5.285078,-5.607933,-5.856477,-6.061804,-6.266991,-6.364572,-6.434868,-6.539344,-6.620080,-6.607918,-6.642666,-6.672551,-6.717607,-6.717503,-6.681177,-6.596945,-6.473457,-6.300870,-6.058835,-5.817080,-5.457056,-5.061079,-4.621502,-4.117440,-3.388275,-2.883500,-2.472691,-2.135270,-1.841651,-1.612374,-1.416883,-1.175819,-0.936420,-0.694662,-0.419398,-0.159602,0.175500,0.495968,0.780559,1.046418,1.272812,1.489657,1.676331,1.832764,1.979360,2.096767,2.184073,2.261840,2.319990,2.359699,2.384612,2.398212
58,-1.375018,-1.432312,-1.525787,-1.666030,-1.893038,-2.106777,-2.397182,-2.724164,-3.117611,-3.567388,-4.243342,-4.765312,-5.153145,-5.496733,-5.756233,-5.993007,-6.150422,-6.269630,-6.369449,-6.352650,-6.372853,-6.370509,-6.365049,-6.435025,-6.421144,-6.373354,-6.429311,-6.376695,-6.293895,-6.140762,-5.947323,-5.693606,-5.300584,-4.870982,-4.458023,-4.010981,-3.299385,-2.762944,-2.350983,-1.992458,-1.687342,-1.436846,-1.291272,-1.050500,-0.800908,-0.538925,-0.284096,-0.044897,0.269595,0.599501,0.863625,1.108839,1.334376,1.550733,1.726900,1.882732,2.018676,2.135392,2.222111,2.299624,2.348328,2.390131,2.417146,2.431650
59,-1.374393,-1.421702,-1.515201,-1.655454,-1.852451,-2.076159,-2.346528,-2.673490,-3.046962,-3.486846,-4.093040,-4.685439,-5.093948,-5.408508,-5.659295,-5.907797,-6.007132,-6.097302,-6.186825,-6.179587,-5.999876,-5.937787,-5.962472,-5.972250,-5.978481,-6.011342,-6.178460,-6.237377,-6.165361,-5.991919,-5.787293,-5.531807,-5.136512,-4.734215,-4.348542,-3.829201,-3.155380,-2.637170,-2.224223,-1.865249,-1.549660,-1.288079,-1.131715,-0.909697,-0.658518,-0.405979,-0.192478,0.075391,0.369057,0.698588,0.942409,1.186515,1.390438,1.594817,1.768571,1.912494,2.047498,2.153737,2.250942,2.319769,2.380716,2.415099,2.444102,2.459432
60,-1.365827,-1.413143,-1.496653,-1.636912,-1.833907,-2.047609,-2.307979,-2.624967,-2.988516,-3.398566,-3.925058,-4.517948,-5.007216,-5.312901,-5.535294,-5.745767,-5.856615,-5.957138,-5.986688,-5.980018,-5.801098,-5.720093,-5.715537,-5.744780,-5.750054,-5.782033,-5.889051,-6.058629,-5.976766,-5.842743,-5.666942,-5.379801,-4.962919,-4.589315,-4.172237,-3.611650,-2.976565,-2.517287,-2.113580,-1.754372,-1.438312,-1.165147,-0.926159,-0.691664,-0.469133,-0.207086,-0.015377,0.210899,0.513191,0.781192,1.013159,1.235613,1.437923,1.630499,1.792925,1.936364,2.061453,2.178147,2.266483,2.336890,2.389873,2.436212,2.466663,2.472613
61,-1.359362,-1.406681,-1.490197,-1.620462,-1.807460,-2.031168,-2.281558,-2.588592,-2.922238,-3.312463,-3.729254,-4.262620,-4.772618,-5.149402,-5.323353,-5.535628,-5.697744,-5.799005,-5.779587,-5.654169,-5.596436,-5.566781,-5.563144,-5.592305,-5.596529,-5.617336,-5.733274,-5.911562,-5.858625,-5.683698,-5.487045,-5.229089,-4.821530,-4.397392,-3.849545,-3.308230,-2.842666,-2.412971,-2.028819,-1.678962,-1.351707,-1.066647,-0.804984,-0.558308,-0.315079,-0.084302,0.146299,0.371537,0.612323,0.848025,1.067247,1.277969,1.459406,1.651526,1.814254,1.958249,2.083873,2.191258,2.280586,2.352199,2.406541,2.454158,2.475575,2.491947
62,-1.355032,-1.402353,-1.485873,-1.616142,-1.783145,-1.996864,-2.247275,-2.544355,-2.878084,-3.238455,-3.625487,-4.039236,-4.549829,-4.967508,-5.052726,-5.336395,-5.569573,-5.662217,-5.585054,-5.481471,-5.494830,-5.485601,-5.491883,-5.511513,-5.525660,-5.515422,-5.579330,-5.695181,-5.670742,-5.575112,-5.348257,-5.020483,-4.472904,-4.058456,-3.620207,-3.188636,-2.753390,-2.344148,-1.969986,-1.619319,-1.300724,-1.003816,-0.730102,-0.481814,-0.238343,-0.008160,0.212717,0.447828,0.667718,0.891857,1.109270,1.308793,1.499708,1.671745,1.824867,1.969339,2.095429,2.193350,2.283346,2.355737,2.410912,2.459299,2.481299,2.497928
63,-1.351509,-1.388831,-1.482352,-1.602622,-1.779629,-1.983353,-2.233775,-2.520877,-2.844645,-3.195085,-3.572228,-3.956154,-4.327022,-4.645118,-4.900925,-5.105227,-5.268918,-5.382389,-5.396685,-5.394374,-5.408230,-5.418760,-5.424615,-5.434443,-5.448673,-5.437836,-5.430625,-5.425295,-5.370150,-5.264257,-5.077431,-4.739965,-4.362800,-3.958642,-3.540393,-3.118699,-2.703613,-2.304685,-1.940435,-1.589282,-1.270177,-0.972725,-0.698302,-0.439357,-0.205741,0.024875,0.256538,0.481891,0.701516,0.915093,1.131857,1.330905,1.511588,1.683588,1.836840,1.971502,2.097797,2.205952,2.296225,2.368930,2.424433,2.463119,2.495347,2.502076
