source,min_k,max_k,mean_k,std_k,max_minus_min_or_ambient_k
ATSim3D_v1_proxy_layer0,324.90042216372456,329.6349717980204,326.97120263873273,1.311100715679835,4.734549634295831
PACT_steady_layer0_physical_y_up,322.05,333.72,327.00275634765626,2.926532016527162,11.670000000000016
HotSpot_coarse_ttrace,,318.23,,,0.08000000000004093
