workload,signal_path,region,width,toggle_count,value_change_count,time_steps,last_time_ps,normalized_activity
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_debug.fragmenter.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,286,1,2084,1000000,0.0002659614039786338
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.in_xbar.monitor.inflight_sizes[535:0],tl_soc_glue,536,278,3,2084,1000000,0.000248875583693815
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_bootaddressreg.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,277,1,2084,1000000,0.00025759198916811736
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.fragmenter_1.monitor.inflight_sizes_1[515:0],non_gemmini_context,516,275,1,2084,1000000,0.0002557321192102248
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.buffer.monitor.inflight_opcodes[515:0],tl_soc_glue,516,274,3,2084,1000000,0.00025480218423127855
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_l2_ctrl.fragmenter.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,272,1,2084,1000000,0.000252942314273386
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_prci_ctrl.buffer.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,270,1,2084,1000000,0.00025108244431549343
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.buffer_1.monitor.inflight_opcodes[515:0],tl_soc_glue,516,270,1,2084,1000000,0.00025108244431549343
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_clint.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,269,1,2084,1000000,0.0002501525093365472
thermal_smoke,TestDriver.testHarness.chiptop0.system.sbus.coupler_to_bus_named_cbus.widget.monitor.inflight_sizes[535:0],tl_soc_glue,536,269,3,2084,1000000,0.00024081846048070588
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.atomics.monitor.inflight_sizes[515:0],tl_soc_glue,516,268,1,2084,1000000,0.00024922257435760093
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.fragmenter.monitor.inflight_sizes[515:0],non_gemmini_context,516,266,1,2084,1000000,0.00024736270439970837
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.in_xbar.monitor.inflight_sizes_1[535:0],tl_soc_glue,536,264,1,2084,1000000,0.00023634228091786748
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.xbar.monitor.inflight_opcodes[515:0],non_gemmini_context,516,264,1,2084,1000000,0.0002455028344418158
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.xbar.monitor.inflight_sizes[515:0],non_gemmini_context,516,264,1,2084,1000000,0.0002455028344418158
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.buffer.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,264,1,2084,1000000,0.0002455028344418158
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_bootrom.fragmenter.monitor.inflight_opcodes[515:0],tl_soc_glue,516,263,1,2084,1000000,0.00024457289946286956
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_bootrom.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,263,1,2084,1000000,0.00024457289946286956
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_clint.fragmenter.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,263,1,2084,1000000,0.00024457289946286956
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.fragmenter.monitor.inflight_sizes_1[515:0],non_gemmini_context,516,263,1,2084,1000000,0.00024457289946286956
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.atomics.monitor.inflight_opcodes[515:0],tl_soc_glue,516,259,1,2084,1000000,0.00024085315954708447
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.buffer.monitor.inflight_opcodes[515:0],tl_soc_glue,516,259,1,2084,1000000,0.00024085315954708447
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.fragmenter.monitor.inflight_opcodes[515:0],non_gemmini_context,516,258,1,2084,1000000,0.0002399232245681382
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_device_named_uart_0.fragmenter.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,258,1,2084,1000000,0.0002399232245681382
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_prci_ctrl.buffer.monitor.inflight_sizes[515:0],tl_soc_glue,516,257,1,2084,1000000,0.00023899328958919193
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_bootaddressreg.fragmenter.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,257,1,2084,1000000,0.00023899328958919193
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_plic.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,256,1,2084,1000000,0.00023806335461024566
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.buffer_1.monitor.inflight_sizes[515:0],tl_soc_glue,516,256,1,2084,1000000,0.00023806335461024566
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.buffer.nodeIn_d_q.ram_ext.W0_data[83:0],tl_soc_glue,84,255,10,2084,1000000,0.0014566767205922676
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_bootaddressreg.fragmenter.monitor.inflight_opcodes[515:0],tl_soc_glue,516,255,1,2084,1000000,0.00023713341963129938
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.buffer.nodeIn_d_q.ram_ext.R0_data[83:0],tl_soc_glue,84,254,10,2084,1000000,0.0014509642628644547
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.fragmenter_1.monitor.inflight_sizes[515:0],non_gemmini_context,516,254,1,2084,1000000,0.0002362034846523531
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_clint.fragmenter.monitor.inflight_opcodes[515:0],tl_soc_glue,516,253,1,2084,1000000,0.00023527354967340684
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.atomics.monitor.inflight_opcodes[515:0],tl_soc_glue,516,251,3,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_debug.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,251,1,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_l2_ctrl.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,251,1,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.fragmenter_1.monitor.inflight_opcodes[515:0],non_gemmini_context,516,251,1,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.coupler_to_device_named_uart_0.fragmenter.monitor.inflight_sizes[515:0],tl_soc_glue,516,251,1,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.out_xbar.monitor.inflight_opcodes[515:0],tl_soc_glue,516,251,1,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.out_xbar.monitor.inflight_sizes[515:0],tl_soc_glue,516,251,1,2084,1000000,0.00023341367971551428
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.wrapped_error_device.buffer.monitor.inflight_opcodes[515:0],pe_array,516,250,1,2084,1000000,0.00023248374473656803
thermal_smoke,TestDriver.testHarness.chiptop0.system.chipyard_prcictrl_domain.xbar.monitor.inflight_sizes_1[515:0],non_gemmini_context,516,249,1,2084,1000000,0.00023155380975762175
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.buffer.monitor.inflight_sizes[515:0],tl_soc_glue,516,249,1,2084,1000000,0.00023155380975762175
thermal_smoke,TestDriver.testHarness.chiptop0.system.pbus.out_xbar.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,249,1,2084,1000000,0.00023155380975762175
thermal_smoke,TestDriver.testHarness.chiptop0.system.cbus.coupler_to_plic.fragmenter.monitor.inflight_sizes_1[515:0],tl_soc_glue,516,248,1,2084,1000000,0.00023062387477867547
